Eout,Corresponding Lambda
375411.92159715237,0
9.922253656222107,1
7.71239184135394,2
6.779023575507644,3
6.260810143419215,4
5.931457960794086,5
5.704308271517526,6
5.538811092202453,7
5.413405032411288,8
5.315551512925175,9
5.237457185197725,10
5.174021794185362,11
5.121767195412632,12
5.07824016367364,13
5.0416610689551105,14
5.010707831971131,15
4.984378020571621,16
4.961897975250319,17
4.942661253492405,18
4.92618591875782,19
4.912084270153914,20
4.900040981484791,21
4.8897970455214494,22
4.881137802031631,23
4.873883887809854,24
4.867884309884398,25
4.863011083236431,26
4.859155036231362,27
4.8562224979133095,28
4.854132658539033,29
4.8528154492545585,30
4.852209825819747,31
4.852262369525806,32
4.852926139131729,33
4.854159722947397,34
4.855926451626834,35
4.858193740859656,36
4.860932539708083,37
4.8641168653712,38
4.867723409039611,39
4.871731200536375,40
4.876121321805512,41
4.880876661181981,42
4.885981701859588,43
4.891422339157175,44
4.897185722134227,45
4.90326011587268,46
4.909634781362695,47
4.916299870437167,48
4.923246333612942,49
4.93046583903699,50
4.937950701016921,51
4.945693816847328,52
4.953688610837421,53
4.961928984605725,54
4.970409272844718,55
4.979124203869521,56
4.988068864362792,57
4.997238667807258,58
5.006629326167352,59
5.016236824438906,60
5.02605739773622,61
5.0360875106286285,62
5.046323838474752,63
5.056763250534855,64
5.067402794667517,65
5.078239683442559,66
5.089271281519492,67
5.100495094160973,68
5.111908756764466,69
5.123510025309553,70
5.135296767629225,71
5.147266955424285,72
5.159418656948641,73
5.171750030301528,74
5.184259317268359,75
5.196944837660233,76
5.209804984104843,77
5.222838217248533,78
5.23604306133191,79
5.249418100106426,80
5.26296197306105,81
5.276673371933191,82
5.290551037478275,83
5.304593756477351,84
5.3188003589614254,85
5.333169715635518,86
5.3477007354855175,87
5.362392363553207,88
5.377243578866055,89
5.392253392508954,90
5.407420845827797,91
5.422745008753048,92
5.438224978235891,93
5.453859876786818,94
5.46964885110999,95
5.485591070825661,96
5.501685727274218,97
5.51793203239605,98
5.534329217681811,99
5.55087653318744,100
5.567573246610225,101
5.584418642420834,102
5.601412021047739,103
5.618552698110475,104
5.635840003698308,105
5.653273281691097,106
5.670851889119733,107
5.688575195563306,108
5.706442582580856,109
5.72445344317505,110
5.74260718128617,111
5.760903211313846,112
5.779340957665623,113
5.79791985432974,114
5.816639344471332,115
5.835498880050034,116
5.854497921458278,117
5.873635937178304,118
5.892912403457357,119
5.91232680399965,120
5.931878629674152,121
5.951567378237435,122
5.971392554070212,123
5.991353667927491,124
6.011450236700968,125
6.0316817831930205,126
6.052047835902111,127
6.072547928818283,128
6.093181601228769,129
6.11394839753269,130
6.134847867064638,131
6.155879563926637,132
6.177043046827839,133
6.198337878931601,134
6.2197636277099,135
6.241319864803863,136
6.26300616589108,137
6.284822110558838,138
6.306767282182664,139
6.328841267810487,140
6.351043658051914,141
6.373374046972391,142
6.395832031991506,143
6.418417213786286,144
6.441129196198157,145
6.463967586143966,146
6.4869319935308,147
6.510022031174262,148
6.533237314720192,149
