Eout,Corresponding Lambda
17.326514732283208,0
9.048787229128084,1
7.599187393867038,2
6.896628806583799,3
6.4675149521669315,4
6.174363132442088,5
5.9601642421960035,6
5.796407816925841,7
5.667051917561932,8
5.562302571948911,9
5.47580975896214,10
5.4032613365026965,11
5.341619194689171,12
5.288677519865333,13
5.242794162331594,14
5.202720372264241,15
5.167489074458482,16
5.136339358523202,17
5.1086641290827615,18
5.083972997459954,19
5.061865457965503,20
5.042011158907296,21
5.024135164801462,22
5.008006792172757,23
4.99343104479285,24
4.9802419670579745,25
4.9682974313853645,26
4.957475010573715,27
4.9476686800940195,28
4.938786161681561,29
4.93074676712912,30
4.923479635632544,31
4.916922283287837,32
4.911019402054165,33
4.90572185949377,34
4.900985861177535,35
4.896772245699069,36
4.89304588843091,37
4.8897751949420245,38
4.886931668734485,39
4.884489540883253,40
4.882425451482144,41
4.880718174636903,42
4.879348380218927,43
4.87829842677485,44
4.877552180943977,45
4.8770948595105885,46
4.87691289085206,47
4.876993793062356,48
4.877326066458485,49
4.877899098529678,50
4.878703079683612,51
4.879728928386595,52
4.880968224500627,53
4.882413149790051,54
4.8840564347154825,55
4.885891310755153,56
4.887911467596281,57
4.890111014625765,58
4.89248444622739,59
4.895026610453825,60
4.897732680697034,61
4.900598130029164,62
4.903618707924797,63
4.906790419111426,64
4.910109504325349,65
4.913572422775729,66
4.917175836143331,67
4.920916593959876,68
4.924791720231042,69
4.928798401182062,70
4.932933974018186,71
4.937195916602589,72
4.941581837966586,73
4.946089469575155,74
4.95071665727823,75
4.955461353886426,76
4.960321612315084,77
4.9652955792477815,78
4.970381489272229,79
4.975577659450178,80
4.980882484283192,81
4.9862944310410935,82
4.991812035423857,83
4.997433897529083,84
5.003158678100164,85
5.008985095033126,86
5.0149119201215235,87
5.0209379760203285,88
5.027062133412633,89
5.033283308363015,90
5.039600459843401,91
5.046012587419096,92
5.0525187290823865,93
5.059117959223102,94
5.065809386726589,95
5.0725921531892,96
5.079465431243575,97
5.086428422985518,98
5.093480358495375,99
5.100620494448153,100
5.10784811280487,101
5.1151625195809896,102
5.122563043686031,103
5.130049035829488,104
5.1376198674896445,105
5.145274929939658,106
5.1530136333286,107
5.160835405813175,108
5.168739692736848,109
5.176725955854122,110
5.184793672596,111
5.1929423353751485,112
5.201171450927548,113
5.209480539689044,114
5.21786913520406,115
5.226336783564998,116
5.234883042880432,117
5.24350748277004,118
5.25220968388527,119
5.260989237453882,120
5.2698457448467835,121
5.278778817166784,122
5.287788074856833,123
5.296873147327396,124
5.306033672601858,125
5.315269296978837,126
5.3245796747101135,127
5.333964467694325,128
5.343423345184076,129
5.352955983507446,130
5.362562065801772,131
5.372241281759679,132
5.381993327386495,133
5.391817904768909,134
5.4017147218533665,135
5.411683492234988,136
5.4217239349549455,137
5.431835774307429,138
5.442018739654488,139
5.452272565249023,140
5.462596990065368,141
5.472991757636931,142
5.483456615900759,143
5.4939913170486046,144
5.504595617384206,145
5.515269277186381,146
5.526012060577833,147
5.536823735399056,148
5.547704073087861,149
