Ein,Eout
2506.811070229303,6843.8075727679125
0.9167478921021096,7.878755405585168
1.2246541121294632,6.559243272011421
1.43407021500058,6.078794823057523
1.6014429229587992,5.817371754606713
1.743878762331497,5.650490017355626
1.8689123500320062,5.534947272270215
1.980692474573427,5.4510630652519145
2.0818513499638853,5.388316889516737
2.1742203555353874,5.340471329983992
2.2591547239155263,5.303553059553526
2.337701009985829,5.274894547991193
2.410692506052437,5.25263173282569
2.478808001894293,5.235420192808394
2.542610250045178,5.2222651301185685
2.602572389129916,5.212414656175374
2.6590968045912207,5.2052902052413845
2.7125290128258963,5.200439693886428
2.763168141714618,5.197505132873953
2.811275007626824,5.196199710503565
2.8570784490886556,5.1962912503871
2.900780367104291,5.197590059609072
2.9425597873648046,5.199939862708621
2.982576170430107,5.203210943834588
3.020972135375893,5.207294894546936
3.0578757202025004,5.212100546044424
3.093402272307488,5.2175507865212065
3.127656040602799,5.223580047838767
3.1607315248630137,5.2301323037937175
3.192714625949203,5.237159463311911
3.223683631511247,5.244620071286479
3.2537100648514907,5.252478251089688
3.2828594192754053,5.2607028384168535
3.3111917960689565,5.269266667709169
3.338762460944798,5.278145981074704
3.365622331173407,5.287319936178262
3.3918184035190775,5.296770194565792
3.4173941314054206,5.306480575725215
3.442389758362059,5.316436765149775
3.466842613681805,5.326626066985347
3.490787375298064,5.337037193658595
3.5142563041319423,5.347660086313528
3.5372794535268968,5.358485761020343
3.559884856866838,5.369506176633061
3.5820986960309784,5.380714120897195
3.6039454529718005,5.3921031119988605
3.625448046389403,5.4036673132242985
3.6466279552132677,5.415401458786153
3.6675053303762946,5.42730078919019
3.68809909617757,5.439360994779436
3.7084270423631747,5.451578166304208
3.7285059079180383,5.463948751548769
3.7483514574370544,5.4764695171885105
3.7679785508433623,5.489137515181206
3.787401207127567,5.501950053091022
3.8066326627067624,5.514904667838958
3.8256854249315477,5.527999102438711
3.844571321212232,5.541231285345657
3.8633015441800227,5.554599312089747
3.8818866932587723,5.568101428919256
3.9003368129767124,5.581736018206663
3.918661428317474,5.595501585410624
3.9368695773765485,5.609396747410044
3.9549698415625327,5.623420222052457
3.9729703735567563,5.637570818774519
3.990878923226869,5.651847430177651
4.008702861667125,5.666249024449102
4.026449203523889,5.680774638536808
4.044124627747945,5.695423371994629
4.061735496903467,5.710194381427436
4.0792878751496,5.725086875470324
4.096787545001609,5.740100110247409
4.114240022967124,5.755233385258664
4.131650574146096,5.77048603965192
4.149024225873834,5.785857448840362
4.1663657804802146,5.801347021430122
4.1836798272321,5.816954196428609
4.200970753518476,5.8326784407029315
4.218242755336231,5.848519246667921
4.23549984712501,5.864476130177141
4.252745871000309,5.880548628601138
4.269984505426303,5.896736299072859
4.287219273368324,5.913038716885333
4.304453549961004,5.929455474026654
4.321690569726559,5.945986177841362
4.338933433372249,5.962630449803948
4.356185114197009,5.979387924396726
4.373448464132684,5.996258248081123
4.390726219443867,6.013241078354481
4.408021006109831,6.030336082885585
4.425335344907434,6.047542938719825
4.442671656216358,6.0648613315509134
4.460032264562327,6.082290955050365
4.477419402916491,6.099831510252084
4.494835216765376,6.1174827049861555
4.51228176796544,6.13524425335759
4.529761038396499,6.1531158752674475
4.547274933424643,6.171097295970598
4.564825285188188,6.1891882456700005
4.582413855715094,6.207388459141442
4.600042339883661,6.225697675388924
4.617712368234027,6.2441156373255335
4.635425509640814,6.262642091480424
4.653183273853941,6.281276787728298
4.670987113914793,6.3000194790386
4.688838428456414,6.318869921246165
4.706738563892096,6.3378278728375905
4.72468881650054,6.356893094754939
4.742690434411954,6.376065350214565
4.760744619501511,6.395344404539501
4.7788525291941575,6.414730025004583
4.797015278186831,6.434221980693907
4.81523394009115,6.453820042368544
4.833509549002122,6.473523982344831
4.851843100995671,6.493333574381843
4.870235555559471,6.513248593577327
4.888687836960085,6.5332688162717085
4.9072008355498005,6.553394019959219
4.925775409016925,6.573623983206678
4.944412383580544,6.593958485576918
4.963112555135242,6.614397307559786
4.981876690345819,6.634940230507456
5.000705527696044,6.655587036575069
5.019599778492924,6.676337508666139
5.038560127829108,6.697191430381877
5.057587235504739,6.718148585974344
5.076681736912422,6.7392087603043525
5.095844243884767,6.76037173880163
5.115075345507422,6.781637307428004
5.134375608900569,6.803005252645088
5.153745579967107,6.8244753613825475
5.1731857841128,6.84604742101089
5.19269672693635,6.8677212193148085
5.2122788948934735,6.88949654447007
5.231932755934384,6.911373185021693
5.251658760116649,6.933350929864128
5.271457340194307,6.955429568223083
5.291328912184456,6.977608889639009
5.311273875912734,6.999888683952652
5.331292615537043,7.022268741290655
5.3513855000524275,7.044748852053386
5.371552883777017,7.067328806904227
5.391795106819669,7.090008396759011
5.4121124955302555,7.112787412777097
5.432505362933527,7.13566564635301
5.452974009147597,7.158642889109694
5.473518721786507,7.181718932891569
5.494139776348472,7.204893569758753
5.514837436590749,7.228166591982384
5.535611954890739,7.251537792040202
